date,Qsim,Quz,Qlz,SP,SM,UZ,LZ,WC
'2009-01-01',68.839,63.132,5.707,0.000,10.000,10.000,10.000,0.000
'2009-01-02',40.918,29.834,8.718,0.000,9.767,3.041,14.782,0.000
'2009-01-03',10.406,0.000,10.267,0.000,10.356,0.000,17.409,0.000
'2009-01-04',9.859,0.000,9.956,0.000,10.258,0.000,16.882,0.000
'2009-01-05',9.814,0.000,9.709,0.000,10.617,0.000,16.463,0.000
'2009-01-06',10.288,0.000,10.436,0.000,19.594,0.000,17.696,0.000
'2009-01-07',11.655,0.000,11.617,0.000,24.455,0.000,19.698,0.000
'2009-01-08',12.353,0.000,12.451,0.000,26.749,0.000,21.112,0.000
'2009-01-09',12.720,0.000,12.649,0.000,27.195,0.000,21.449,0.000
'2009-01-10',12.431,0.000,12.479,0.000,26.772,0.000,21.161,0.000
'2009-01-11',12.350,0.000,12.294,0.000,26.396,0.000,20.846,0.000
'2009-01-12',11.961,0.000,11.987,0.000,25.777,0.000,20.326,0.000
'2009-01-13',12.242,0.000,12.239,0.000,26.372,0.000,20.753,0.000
'2009-01-14',11.916,0.000,11.891,0.000,25.799,0.000,20.163,0.000
'2009-01-15',11.771,0.000,11.785,0.000,25.694,0.000,19.982,0.000
'2009-01-16',11.942,0.000,11.943,0.000,26.348,0.000,20.251,0.000
'2009-01-17',13.746,0.000,13.898,0.000,30.689,0.000,23.566,0.000
'2009-01-18',14.495,0.000,14.401,0.000,31.494,0.000,24.418,0.000
'2009-01-19',16.178,0.000,16.417,0.000,33.873,0.000,27.838,0.000
'2009-01-20',16.579,0.000,16.366,0.000,33.760,0.000,27.750,0.000
'2009-01-21',15.725,0.000,15.873,0.000,32.864,0.000,26.915,0.000
'2009-01-22',15.631,0.000,15.470,0.000,32.265,0.000,26.231,0.000
'2009-01-23',77.110,64.506,17.981,0.000,42.365,6.575,30.490,0.000
'2009-01-24',40.422,11.341,20.412,0.000,41.409,1.156,34.612,0.000
'2009-01-25',13.937,0.000,20.655,0.000,40.332,0.000,35.024,0.000
'2009-01-26',25.956,0.000,20.029,0.000,38.920,0.000,33.962,0.000
'2009-01-27',14.358,0.000,19.503,0.000,37.664,0.000,33.070,0.000
'2009-01-28',24.324,0.000,19.850,0.000,37.171,0.000,33.658,0.000
'2009-01-29',16.273,0.000,20.217,0.000,36.586,0.000,34.281,0.000
'2009-01-30',88.991,68.500,22.576,0.000,43.214,6.982,38.281,0.000
'2009-01-31',61.088,31.709,24.859,0.000,42.664,3.232,42.152,0.000
'2009-02-01',124.065,107.007,27.068,0.000,46.251,10.907,45.897,0.000
'2009-02-02',80.572,37.330,29.206,0.000,44.896,3.805,49.523,0.000
'2009-02-03',21.042,0.000,30.508,0.000,43.362,0.000,51.731,0.000
'2009-02-04',38.978,0.000,30.711,0.000,41.825,0.000,52.075,0.000
'2009-02-05',22.652,0.000,29.816,0.000,40.216,0.000,50.558,0.000
'2009-02-06',36.975,0.000,30.782,0.000,39.728,0.000,52.196,0.000
'2009-02-07',24.989,0.000,30.376,0.000,38.818,0.000,51.506,0.000
'2009-02-08',34.750,0.000,30.008,0.000,37.995,0.000,50.882,0.000
'2009-02-09',25.100,0.000,29.185,0.000,36.995,0.000,49.488,0.000
'2009-02-10',33.687,0.000,30.191,0.000,37.169,0.000,51.193,0.000
'2009-02-11',26.446,0.000,29.448,0.000,36.127,0.000,49.932,0.000
'2009-02-12',33.769,0.000,31.287,0.000,37.492,0.000,53.052,0.000
'2009-02-13',28.477,0.000,30.595,0.000,36.421,0.000,51.878,0.000
'2009-02-14',37.944,3.938,32.619,0.000,38.293,0.401,55.310,0.000
'2009-02-15',31.794,0.000,32.707,0.000,38.112,0.000,55.460,0.000
'2009-02-16',33.152,0.000,32.323,0.000,37.600,0.000,54.808,0.000
'2009-02-17',30.800,0.000,31.458,0.000,36.812,0.000,53.341,0.000
'2009-02-18',31.134,0.000,30.482,0.000,35.491,0.000,51.687,0.000
'2009-02-19',30.032,0.000,30.613,0.000,35.036,0.000,51.908,0.000
'2009-02-20',30.416,0.000,29.848,0.000,34.355,0.000,50.612,0.000
'2009-02-21',29.036,0.000,29.506,0.000,33.929,0.000,50.031,0.000
'2009-02-22',29.178,0.000,28.704,0.000,32.856,0.000,48.672,0.000
'2009-02-23',27.537,0.000,27.887,0.000,31.845,0.000,47.287,0.000
'2009-02-24',29.795,0.000,29.624,0.000,33.792,0.000,50.231,0.000
'2009-02-25',29.230,0.000,29.359,0.000,33.441,0.000,49.782,0.000
'2009-02-26',28.712,0.000,28.535,0.000,32.689,0.000,48.385,0.000
'2009-02-27',28.182,0.000,28.320,0.000,32.495,0.000,48.020,0.000
'2009-02-28',27.873,0.000,27.704,0.000,31.802,0.000,46.975,0.000
'2009-03-01',27.014,0.000,27.116,0.000,30.901,0.000,45.979,0.000
'2009-03-02',26.627,0.000,26.489,0.000,30.128,0.000,44.915,0.000
'2009-03-03',28.419,0.068,28.645,0.000,33.714,0.007,48.572,0.000
'2009-03-04',28.983,0.000,28.726,0.000,33.981,0.000,48.708,0.000
'2009-03-05',27.684,0.000,27.840,0.000,33.175,0.000,47.206,0.000
'2009-03-06',27.292,0.000,27.098,0.000,31.915,0.000,45.948,0.000
'2009-03-07',26.699,0.000,26.850,0.000,31.519,0.000,45.527,0.000
'2009-03-08',26.192,0.000,25.993,0.000,30.098,0.000,44.075,0.000
'2009-03-09',25.512,0.000,25.660,0.000,29.712,0.000,43.509,0.000
'2009-03-10',25.094,0.000,24.905,0.000,28.577,0.000,42.231,0.000
'2009-03-11',24.057,0.000,24.164,0.000,27.509,0.000,40.974,0.000
'2009-03-12',24.369,0.000,24.284,0.000,28.246,0.000,41.178,0.000
'2009-03-13',24.534,0.000,24.635,0.000,29.356,0.000,41.772,0.000
'2009-03-14',24.190,0.000,24.056,0.000,29.215,0.000,40.791,0.000
'2009-03-15',25.578,0.000,25.834,0.000,32.185,0.000,43.804,0.000
'2009-03-16',26.856,0.000,26.700,0.000,33.174,0.000,45.273,0.000
'2009-03-17',26.159,0.000,26.262,0.000,32.641,0.000,44.530,0.000
'2009-03-18',27.055,0.000,27.025,0.000,33.778,0.000,45.824,0.000
'2009-03-19',28.312,0.000,28.450,0.000,35.430,0.000,48.241,0.000
'2009-03-20',27.894,0.000,27.716,0.000,34.937,0.000,46.997,0.000
'2009-03-21',30.701,1.289,29.833,0.000,36.679,0.131,50.587,0.000
'2009-03-22',30.177,0.000,29.697,0.000,36.146,0.000,50.355,0.000
'2009-03-23',32.862,1.837,31.750,0.000,37.902,0.187,53.836,0.000
'2009-03-24',31.878,0.000,31.046,0.000,36.895,0.000,52.642,0.000
'2009-03-25',34.691,2.735,33.055,0.000,38.429,0.279,56.050,0.000
'2009-03-26',35.513,0.000,34.447,0.000,38.627,0.000,58.409,0.000
'2009-03-27',55.718,22.186,36.347,0.000,40.972,2.261,61.631,0.000
'2009-03-28',106.798,70.031,38.186,0.000,44.257,7.138,64.749,0.000
'2009-03-29',143.322,104.985,39.965,0.000,45.879,10.701,67.767,0.000
'2009-03-30',88.584,40.574,41.688,0.000,44.457,4.136,70.687,0.000
'2009-03-31',95.001,58.727,43.354,0.000,44.755,5.986,73.513,0.000
'2009-04-01',96.409,44.240,44.967,0.000,44.742,4.509,76.248,0.000
'2009-04-02',119.598,82.481,46.528,0.000,45.906,8.407,78.895,0.000
'2009-04-03',83.349,22.508,48.039,0.000,44.370,2.294,81.457,0.000
'2009-04-04',38.523,0.000,47.959,0.000,43.098,0.000,81.322,0.000
'2009-04-05',54.804,0.000,46.427,0.000,41.309,0.000,78.723,0.000
'2009-04-06',37.726,0.000,44.940,0.000,39.512,0.000,76.202,0.000
'2009-04-07',50.177,0.000,43.774,0.000,38.133,0.000,74.224,0.000
'2009-04-08',79.228,42.937,45.373,0.000,41.973,4.376,76.936,0.000
'2009-04-09',57.708,0.000,46.494,0.000,41.420,0.000,78.838,0.000
'2009-04-10',36.636,0.000,46.444,0.000,40.567,0.000,78.752,0.000
'2009-04-11',116.718,65.407,47.957,0.000,44.101,6.667,81.318,0.000
'2009-04-12',146.481,103.049,49.422,0.000,45.342,10.504,83.802,0.000
'2009-04-13',95.482,34.128,50.839,0.000,43.753,3.479,86.205,0.000
'2009-04-14',45.031,0.000,51.627,0.000,42.558,0.000,87.540,0.000
'2009-04-15',78.320,21.348,52.973,0.000,43.426,2.176,89.823,0.000
'2009-04-16',50.726,0.000,52.521,0.000,41.276,0.000,89.057,0.000
'2009-04-17',52.549,0.000,50.847,0.000,39.681,0.000,86.218,0.000
'2009-04-18',47.861,0.000,49.223,0.000,38.299,0.000,83.465,0.000
'2009-04-19',49.050,0.000,47.743,0.000,36.862,0.000,80.954,0.000
'2009-04-20',45.185,0.000,46.209,0.000,35.304,0.000,78.354,0.000
