Computed Discharge (Q)
Time Q_0 Q_1 Q_2 Q_3 Q_4 Q_5 Q_6 Q_7 Q_8 Q_9 Q_10 Q_11 Q_12 Q_13 Q_14 Q_15 Q_16 Q_17 Q_18 Q_19 Q_20 
   0 315.0 315.0 315.0 315.0 315.0 315.0 315.0 315.0 315.0 315.0 315.0 315.0 315.0 315.0 315.0 315.0 315.0 315.0 315.0 315.0 315.0 
   1 318.9 305.3 295.8 289.2 284.6 281.4 279.1 277.5 276.4 275.7 275.1 274.6 274.2 273.7 273.0 272.1 270.5 267.8 263.2 255.4 242.0 
   2 322.9 321.3 315.4 307.7 300.0 292.8 286.5 281.3 276.9 273.1 269.9 266.9 263.9 260.4 256.1 250.6 243.2 233.8 222.5 210.9 203.9 
   3 326.8 321.3 318.8 316.3 312.8 308.0 302.3 296.0 289.3 282.3 275.1 267.5 259.3 250.3 240.6 230.1 219.7 210.2 202.7 196.8 186.9 
   4 330.7 327.5 322.2 317.2 313.0 309.0 304.5 299.1 292.6 284.9 275.9 266.0 255.5 244.9 234.7 225.5 217.4 209.4 199.8 187.6 178.2 
   5 334.7 329.7 325.6 320.4 314.1 307.3 300.4 293.3 286.0 278.5 270.9 263.2 255.6 248.1 240.2 231.5 221.3 209.9 199.1 191.5 182.5 
   6 338.6 332.7 326.1 319.9 313.6 306.8 299.6 292.2 284.8 277.7 270.8 264.0 256.8 248.8 239.9 230.7 222.1 214.8 207.8 197.6 188.1 
   7 342.5 336.0 329.5 322.4 315.4 308.7 302.3 295.8 289.1 281.8 273.8 265.3 256.5 248.0 240.4 233.5 226.3 217.6 207.6 199.4 190.8 
   8 346.5 340.3 333.9 327.8 321.3 314.3 307.0 299.4 291.5 283.5 275.6 268.0 260.6 253.1 245.0 235.6 225.5 216.1 208.3 198.7 189.1 
   9 350.4 344.6 338.4 331.7 324.8 317.7 310.3 302.7 295.1 287.6 280.0 272.1 263.6 254.2 244.7 235.7 227.4 218.8 208.4 199.2 190.3 
  10 354.4 347.7 341.1 334.3 327.4 320.3 313.3 306.2 298.8 290.8 282.1 273.0 263.9 255.4 247.3 238.8 229.3 219.6 211.4 202.4 192.9 
  11 358.3 351.7 344.9 337.9 331.0 323.8 316.1 308.0 299.6 291.2 283.1 275.3 267.5 259.1 249.9 240.4 231.8 223.6 213.9 204.6 195.6 
  12 362.2 355.6 348.7 341.5 333.8 325.9 318.0 310.2 302.5 294.8 286.8 278.3 269.4 260.4 252.0 243.8 234.9 225.1 216.3 207.3 197.8 
  13 366.2 359.0 351.6 344.1 336.8 329.4 322.0 314.3 306.3 297.8 289.1 280.4 272.0 263.7 254.9 245.4 236.2 227.9 218.6 209.3 200.3 
  14 370.1 363.0 355.9 348.6 341.1 333.4 325.3 317.0 308.5 300.3 292.1 283.9 275.1 265.9 256.8 248.2 239.5 229.9 220.7 211.7 202.3 
  15 374.0 367.1 359.8 352.2 344.3 336.2 328.1 320.1 312.1 303.8 295.1 286.1 277.3 268.7 260.2 251.0 241.5 232.7 223.5 214.2 205.0 
  16 378.0 370.3 362.7 355.0 347.3 339.7 331.8 323.6 315.0 306.3 297.7 289.3 280.7 271.7 262.4 253.4 244.8 235.4 226.3 217.2 207.9 
  17 381.9 374.5 366.9 359.2 351.2 343.0 334.6 326.2 317.9 309.6 301.2 292.3 283.2 274.4 265.8 256.8 247.4 238.4 229.3 220.0 210.8 
  18 385.8 378.4 370.6 362.6 354.5 346.4 338.3 330.0 321.5 312.7 303.9 295.2 286.6 277.8 268.6 259.4 250.6 241.4 232.1 223.0 213.7 
  19 389.8 381.9 374.0 366.2 358.3 350.2 341.8 333.2 324.6 316.1 307.5 298.8 289.7 280.5 271.7 262.8 253.4 244.3 235.2 226.0 216.8 
