name,x,y
Belloso,263029.8524,1514846.989
Ilopango,270933.3684,1515329.946
La_Cima,260398.5456,1511107.992
Tonacatepeque,271339.4937,1524622.547
Panchimalco,264028.3304,1505541.469
Melara,261092.152,1492065.763
Cojutepeque,291726.2396,1517701.187
Hacienda_Melara,259568.967,1491304.779
Jerusalem,294479.6955,1510154.936
Zacatecoluca,298902.0116,1494076.455
Santiago_Nonualco,285840.954,1485658.077
Tepezontes,282546.6895,1506599.3
Puente_Viejo,284835.7209,1495293.346
San_Vicente,301032.3414,1503797.451
Guadalupe,298768.8641,1505031.784
Verapaz,298703.0064,1510564.809
San_Vicente_Hidro,308217.9363,1509608.377
Ilobasco,298729.7555,1528047.523
