date,Qsim,Quz,Qlz,SP,SM,UZ,LZ,WC
'2009-01-01',34.648,23.141,13.923,0.000,10.000,10.000,10.000,0.000
'2009-01-02',33.643,13.955,19.449,0.000,9.926,5.243,12.871,0.000
'2009-01-03',26.947,3.051,23.446,0.000,10.890,1.146,15.516,0.000
'2009-01-04',23.426,0.000,23.212,0.000,11.005,0.000,15.361,0.000
'2009-01-05',21.555,0.000,21.440,0.000,11.679,0.000,14.188,0.000
'2009-01-06',20.576,0.000,20.516,0.000,22.296,0.000,13.577,0.000
'2009-01-07',20.140,0.000,20.114,0.000,29.391,0.000,13.311,0.000
'2009-01-08',19.615,0.000,19.581,0.000,33.461,0.000,12.958,0.000
'2009-01-09',18.655,0.000,18.590,0.000,35.047,0.000,12.303,0.000
'2009-01-10',17.436,0.000,17.355,0.000,35.416,0.000,11.485,0.000
'2009-01-11',16.278,0.000,16.203,0.000,35.726,0.000,10.723,0.000
'2009-01-12',15.097,0.000,15.019,0.000,35.646,0.000,9.940,0.000
'2009-01-13',14.532,0.000,14.498,0.000,37.328,0.000,9.594,0.000
'2009-01-14',13.479,0.000,13.408,0.000,37.168,0.000,8.873,0.000
'2009-01-15',12.703,0.000,12.654,0.000,37.729,0.000,8.374,0.000
'2009-01-16',12.283,0.000,12.257,0.000,39.205,0.000,8.111,0.000
'2009-01-17',13.831,0.000,13.941,0.000,46.083,0.000,9.226,0.000
'2009-01-18',13.944,0.000,13.944,0.000,48.125,0.000,9.228,0.000
'2009-01-19',15.664,0.000,15.784,0.000,53.343,0.000,10.446,0.000
'2009-01-20',15.175,0.000,15.133,0.000,54.010,0.000,10.015,0.000
'2009-01-21',14.062,0.000,13.987,0.000,53.598,0.000,9.256,0.000
'2009-01-22',13.089,0.000,13.026,0.000,53.454,0.000,8.621,0.000
'2009-01-23',26.629,10.048,17.528,0.000,71.495,3.775,11.600,0.000
'2009-01-24',22.241,0.192,21.677,0.000,71.292,0.072,14.345,0.000
'2009-01-25',20.505,0.000,20.410,0.000,70.945,0.000,13.507,0.000
'2009-01-26',18.963,0.000,18.862,0.000,70.163,0.000,12.482,0.000
'2009-01-27',17.640,0.000,17.555,0.000,69.524,0.000,11.617,0.000
'2009-01-28',17.641,0.000,17.647,0.000,70.166,0.000,11.679,0.000
'2009-01-29',17.810,0.000,17.822,0.000,70.769,0.000,11.794,0.000
'2009-01-30',35.907,15.221,21.947,0.000,83.773,5.718,14.524,0.000
'2009-01-31',35.035,9.138,25.748,0.000,84.932,3.433,17.039,0.000
'2009-02-01',56.599,28.863,29.250,0.000,95.222,10.843,19.357,0.000
'2009-02-02',49.452,16.372,32.476,0.000,94.378,6.150,21.492,0.000
'2009-02-03',41.242,5.263,35.449,0.000,93.302,1.977,23.460,0.000
'2009-02-04',37.799,0.000,37.596,0.000,92.764,0.000,24.880,0.000
'2009-02-05',35.002,0.000,34.821,0.000,91.575,0.000,23.044,0.000
'2009-02-06',35.793,0.000,35.861,0.000,92.165,0.000,23.732,0.000
'2009-02-07',34.322,0.000,34.215,0.000,91.754,0.000,22.643,0.000
'2009-02-08',32.869,0.000,32.775,0.000,91.384,0.000,21.690,0.000
'2009-02-09',30.649,0.000,30.500,0.000,90.655,0.000,20.185,0.000
