date,Qsim,Quz,Qlz,SP,SM,UZ,LZ,WC
'2009-01-01',25.154,43.332,6.446,0.000,10.000,10.000,10.000,0.000
'2009-01-02',43.951,29.785,8.461,0.000,9.972,5.192,12.649,0.000
'2009-01-03',28.599,8.987,10.168,0.000,11.534,1.567,15.201,0.000
'2009-01-04',14.938,0.000,10.809,0.000,11.808,0.000,16.159,0.000
'2009-01-05',10.613,0.000,10.421,0.000,12.939,0.000,15.579,0.000
'2009-01-06',10.270,0.000,10.123,0.000,28.880,0.000,15.133,0.000
'2009-01-07',10.033,0.000,9.944,0.000,40.133,0.000,14.865,0.000
'2009-01-08',9.857,0.000,9.771,0.000,46.919,0.000,14.607,0.000
'2009-01-09',9.645,0.000,9.522,0.000,49.834,0.000,14.235,0.000
'2009-01-10',9.370,0.000,9.221,0.000,50.837,0.000,13.784,0.000
'2009-01-11',9.073,0.000,8.928,0.000,51.737,0.000,13.347,0.000
'2009-01-12',8.773,0.000,8.622,0.000,51.998,0.000,12.889,0.000
'2009-01-13',8.533,0.000,8.445,0.000,55.163,0.000,12.625,0.000
'2009-01-14',8.295,0.000,8.148,0.000,55.232,0.000,12.181,0.000
'2009-01-15',8.031,0.000,7.917,0.000,56.512,0.000,11.835,0.000
'2009-01-16',7.837,0.000,7.760,0.000,59.220,0.000,11.600,0.000
'2009-01-17',7.917,0.000,8.071,0.000,70.985,0.000,12.065,0.000
'2009-01-18',8.056,0.000,8.041,0.000,74.822,0.000,12.020,0.000
'2009-01-19',8.257,0.000,8.469,0.000,84.520,0.000,12.661,0.000
'2009-01-20',8.391,0.000,8.314,0.000,86.088,0.000,12.428,0.000
'2009-01-21',8.167,0.000,8.023,0.000,85.923,0.000,11.993,0.000
'2009-01-22',7.893,0.000,7.767,0.000,86.110,0.000,11.611,0.000
'2009-01-23',12.225,7.089,9.500,0.000,119.338,1.236,14.201,0.000
'2009-01-24',13.293,0.000,10.066,0.000,119.721,0.000,15.048,0.000
'2009-01-25',9.932,0.000,9.801,0.000,119.936,0.000,14.652,0.000
'2009-01-26',9.630,0.000,9.462,0.000,119.499,0.000,14.145,0.000
'2009-01-27',9.315,0.000,9.172,0.000,119.302,0.000,13.711,0.000
'2009-01-28',9.233,0.000,9.294,0.000,121.604,0.000,13.894,0.000
'2009-01-29',9.372,0.000,9.448,0.000,123.962,0.000,14.124,0.000
'2009-01-30',19.439,18.101,11.119,0.000,150.767,3.155,16.622,0.000
'2009-01-31',24.565,7.277,12.729,0.000,154.495,1.268,19.029,0.000
