date,Qsim,Quz,Qlz,SP,SM,UZ,LZ,WC
'2009-01-01',78.547,142.979,12.909,0.000,10.000,10.000,10.000,0.000
'2009-01-02',122.309,69.725,19.522,0.000,9.925,0.939,14.021,0.000
'2009-01-03',54.013,0.000,19.319,0.000,11.018,0.000,13.875,0.000
'2009-01-04',18.610,0.000,17.913,0.000,11.157,0.000,12.865,0.000
'2009-01-05',17.258,0.000,16.614,0.000,11.928,0.000,11.932,0.000
'2009-01-06',16.059,0.000,15.512,0.000,23.912,0.000,11.141,0.000
'2009-01-07',15.102,0.000,14.697,0.000,32.268,0.000,10.555,0.000
'2009-01-08',14.336,0.000,13.980,0.000,37.195,0.000,10.040,0.000
'2009-01-09',13.572,0.000,13.171,0.000,39.152,0.000,9.460,0.000
'2009-01-10',12.733,0.000,12.302,0.000,39.632,0.000,8.835,0.000
'2009-01-11',11.893,0.000,11.491,0.000,40.049,0.000,8.253,0.000
'2009-01-12',11.088,0.000,10.690,0.000,39.985,0.000,7.678,0.000
'2009-01-13',10.434,0.000,10.181,0.000,42.088,0.000,7.312,0.000
'2009-01-14',9.818,0.000,9.460,0.000,41.916,0.000,6.794,0.000
'2009-01-15',9.177,0.000,8.899,0.000,42.632,0.000,6.391,0.000
'2009-01-16',8.703,0.000,8.510,0.000,44.469,0.000,6.112,0.000
'2009-01-17',8.798,0.000,9.082,0.000,53.015,0.000,6.523,0.000
'2009-01-18',9.039,0.000,8.997,0.000,55.595,0.000,6.462,0.000
'2009-01-19',9.476,0.000,9.948,0.000,62.218,0.000,7.145,0.000
'2009-01-20',9.762,0.000,9.579,0.000,63.078,0.000,6.880,0.000
'2009-01-21',9.241,0.000,8.908,0.000,62.593,0.000,6.398,0.000
'2009-01-22',8.623,0.000,8.343,0.000,62.436,0.000,5.992,0.000
'2009-01-23',13.642,4.511,14.348,0.000,85.430,0.061,10.305,0.000
'2009-01-24',16.254,0.000,13.688,0.000,85.187,0.000,9.831,0.000
'2009-01-25',13.320,0.000,12.957,0.000,84.776,0.000,9.306,0.000
'2009-01-26',12.504,0.000,12.057,0.000,83.835,0.000,8.660,0.000
'2009-01-27',11.684,0.000,11.316,0.000,83.077,0.000,8.127,0.000
'2009-01-28',11.478,0.000,11.637,0.000,83.940,0.000,8.357,0.000
'2009-01-29',11.827,0.000,12.015,0.000,84.747,0.000,8.629,0.000
'2009-01-30',42.886,55.531,17.752,0.000,101.094,0.748,12.750,0.000
'2009-01-31',46.551,0.000,20.230,0.000,102.424,0.000,14.529,0.000
'2009-02-01',79.353,112.199,25.369,0.000,114.542,1.511,18.220,0.000
'2009-02-02',81.227,0.000,25.752,0.000,113.498,0.000,18.495,0.000
'2009-02-03',24.871,0.000,24.004,0.000,112.203,0.000,17.240,0.000
'2009-02-04',24.209,0.000,24.410,0.000,111.483,0.000,17.532,0.000
'2009-02-05',23.603,0.000,22.809,0.000,110.053,0.000,16.381,0.000
'2009-02-06',23.823,0.000,24.822,0.000,110.628,0.000,17.827,0.000
'2009-02-07',24.487,0.000,24.157,0.000,110.082,0.000,17.349,0.000
'2009-02-08',23.881,0.000,23.610,0.000,109.589,0.000,16.957,0.000
'2009-02-09',22.890,0.000,22.181,0.000,108.695,0.000,15.931,0.000
'2009-02-10',23.375,0.000,24.550,0.000,109.670,0.000,17.632,0.000
'2009-02-11',23.889,0.000,23.237,0.000,108.731,0.000,16.689,0.000
'2009-02-12',25.343,0.000,27.416,0.000,111.195,0.000,19.690,0.000
'2009-02-13',26.745,0.000,26.084,0.000,110.324,0.000,18.734,0.000
'2009-02-14',31.900,6.831,30.796,0.000,113.392,0.092,22.118,0.000
'2009-02-15',34.097,0.000,30.621,0.000,113.588,0.000,21.992,0.000
'2009-02-16',30.225,0.000,29.835,0.000,113.392,0.000,21.428,0.000
'2009-02-17',28.934,0.000,28.047,0.000,112.676,0.000,20.143,0.000
'2009-02-18',27.059,0.000,26.087,0.000,111.303,0.000,18.736,0.000
'2009-02-19',26.391,0.000,26.691,0.000,111.043,0.000,19.170,0.000
'2009-02-20',25.966,0.000,25.252,0.000,110.411,0.000,18.136,0.000
'2009-02-21',25.042,0.000,24.836,0.000,110.064,0.000,17.837,0.000
'2009-02-22',24.098,0.000,23.372,0.000,108.890,0.000,16.786,0.000
'2009-02-23',22.642,0.000,21.923,0.000,107.795,0.000,15.745,0.000
'2009-02-24',24.295,0.000,26.630,0.000,110.052,0.000,19.126,0.000
'2009-02-25',26.461,0.000,26.295,0.000,109.796,0.000,18.885,0.000
'2009-02-26',25.474,0.000,24.666,0.000,109.046,0.000,17.715,0.000
'2009-02-27',24.604,0.000,24.542,0.000,108.913,0.000,17.626,0.000
'2009-02-28',23.997,0.000,23.461,0.000,108.201,0.000,16.849,0.000
'2009-03-01',22.970,0.000,22.488,0.000,107.136,0.000,16.151,0.000
'2009-03-02',21.965,0.000,21.451,0.000,106.210,0.000,15.406,0.000
'2009-03-03',28.762,9.460,26.501,0.000,110.139,0.127,19.033,0.000
'2009-03-04',31.482,0.000,27.072,0.000,110.604,0.000,19.443,0.000
'2009-03-05',26.125,0.000,25.192,0.000,109.719,0.000,18.093,0.000
'2009-03-06',24.452,0.000,23.723,0.000,108.249,0.000,17.038,0.000
'2009-03-07',23.610,0.000,23.498,0.000,107.780,0.000,16.876,0.000
'2009-03-08',22.646,0.000,21.807,0.000,106.093,0.000,15.662,0.000
'2009-03-09',21.634,0.000,21.464,0.000,105.584,0.000,15.416,0.000
'2009-03-10',20.767,0.000,20.080,0.000,104.213,0.000,14.422,0.000
'2009-03-11',19.421,0.000,18.772,0.000,102.879,0.000,13.482,0.000
'2009-03-12',19.251,0.000,19.723,0.000,103.502,0.000,14.165,0.000
'2009-03-13',20.444,0.000,21.154,0.000,104.611,0.000,15.193,0.000
'2009-03-14',20.646,0.000,20.145,0.000,104.449,0.000,14.468,0.000
'2009-03-15',22.596,0.000,25.009,0.000,107.618,0.000,17.961,0.000
'2009-03-16',26.107,0.000,27.187,0.000,108.852,0.000,19.526,0.000
'2009-03-17',26.685,0.000,26.189,0.000,108.364,0.000,18.809,0.000
'2009-03-18',27.133,0.000,28.063,0.000,109.841,0.000,20.155,0.000
'2009-03-19',29.718,0.000,31.348,0.000,112.005,0.000,22.514,0.000
'2009-03-20',30.408,0.000,29.482,0.000,111.590,0.000,21.174,0.000
'2009-03-21',35.040,6.567,33.946,0.000,113.976,0.088,24.380,0.000
'2009-03-22',36.874,0.000,33.290,0.000,113.648,0.000,23.909,0.000
'2009-03-23',39.237,7.615,37.477,0.000,116.146,0.103,26.916,0.000
'2009-03-24',40.188,0.000,35.360,0.000,115.239,0.000,25.396,0.000
'2009-03-25',42.446,10.026,39.396,0.000,117.472,0.135,28.294,0.000
'2009-03-26',45.661,0.000,41.957,0.000,118.171,0.000,30.134,0.000
'2009-03-27',71.284,54.649,45.512,0.000,121.583,0.736,32.687,0.000
'2009-03-28',144.988,140.318,48.808,0.000,126.626,1.890,35.054,0.000
'2009-03-29',202.960,164.717,51.864,0.000,130.128,2.219,37.249,0.000
'2009-03-30',133.781,0.000,52.254,0.000,128.874,0.000,37.529,0.000
'2009-03-31',94.195,80.431,55.059,0.000,130.162,1.083,39.543,0.000
'2009-04-01',114.434,36.043,57.659,0.000,130.762,0.485,41.411,0.000
'2009-04-02',148.157,141.707,60.069,0.000,132.904,1.909,43.142,0.000
'2009-04-03',129.706,0.000,58.744,0.000,131.469,0.000,42.190,0.000
'2009-04-04',56.781,0.000,54.849,0.000,130.267,0.000,39.392,0.000
'2009-04-05',52.850,0.000,50.883,0.000,128.365,0.000,36.544,0.000
'2009-04-06',49.026,0.000,47.197,0.000,126.399,0.000,33.897,0.000
'2009-04-07',45.828,0.000,44.480,0.000,124.868,0.000,31.946,0.000
'2009-04-08',109.569,125.807,47.851,0.000,128.526,1.695,34.367,0.000
'2009-04-09',109.719,0.000,46.763,0.000,128.032,0.000,33.585,0.000
'2009-04-10',46.864,0.000,46.964,0.000,127.212,0.000,33.729,0.000
'2009-04-11',137.184,175.865,50.154,0.000,130.910,2.369,36.021,0.000
'2009-04-12',234.357,189.456,53.111,0.000,132.878,2.552,38.145,0.000
'2009-04-13',146.938,0.000,52.778,0.000,131.290,0.000,37.905,0.000
'2009-04-14',51.386,0.000,50.015,0.000,130.145,0.000,35.921,0.000
'2009-04-15',83.430,63.350,52.983,0.000,131.202,0.853,38.052,0.000
'2009-04-16',83.038,0.000,50.255,0.000,128.956,0.000,36.093,0.000
'2009-04-17',48.433,0.000,46.639,0.000,127.280,0.000,33.496,0.000
'2009-04-18',44.945,0.000,43.278,0.000,125.767,0.000,31.082,0.000
'2009-04-19',41.829,0.000,40.402,0.000,124.129,0.000,29.017,0.000
'2009-04-20',38.925,0.000,37.471,0.000,122.320,0.000,26.912,0.000
'2009-04-21',36.872,0.000,36.281,0.000,121.121,0.000,26.057,0.000
'2009-04-22',34.948,0.000,33.636,0.000,120.204,0.000,24.158,0.000
'2009-04-23',32.477,0.000,31.336,0.000,118.601,0.000,22.505,0.000
'2009-04-24',63.393,59.293,35.665,0.000,121.469,0.799,25.615,0.000
'2009-04-25',64.345,0.000,34.202,0.000,119.806,0.000,24.564,0.000
'2009-04-26',33.077,0.000,31.969,0.000,118.478,0.000,22.960,0.000
'2009-04-27',30.805,0.000,29.658,0.000,117.275,0.000,21.301,0.000
'2009-04-28',28.619,0.000,27.595,0.000,115.472,0.000,19.819,0.000
'2009-04-29',26.866,0.000,26.149,0.000,114.379,0.000,18.780,0.000
'2009-04-30',64.263,70.934,30.857,0.000,119.737,0.955,22.161,0.000
'2009-05-01',65.575,0.000,29.916,0.000,118.810,0.000,21.486,0.000
'2009-05-02',106.515,147.588,34.349,0.000,124.899,1.988,24.669,0.000
'2009-05-03',226.539,231.996,38.458,0.000,130.250,3.125,27.621,0.000
'2009-05-04',155.348,0.000,42.009,0.000,129.542,0.000,30.171,0.000
'2009-05-05',40.793,0.000,39.595,0.000,128.323,0.000,28.437,0.000
'2009-05-06',40.469,0.000,41.331,0.000,127.775,0.000,29.684,0.000
'2009-05-07',50.704,15.002,44.931,0.000,128.040,0.202,32.270,0.000
'2009-05-08',52.946,0.000,46.066,0.000,127.573,0.000,33.085,0.000
'2009-05-09',44.460,0.000,42.879,0.000,126.238,0.000,30.796,0.000
'2009-05-10',41.342,0.000,39.829,0.000,124.257,0.000,28.605,0.000
'2009-05-11',38.711,0.000,37.610,0.000,121.949,0.000,27.012,0.000
'2009-05-12',36.672,0.000,35.748,0.000,120.580,0.000,25.674,0.000
