date,prec,et,temp,tm
2009-01-01,0.49,0.02487497,28.38873246,28.87381256
2009-01-02,0,1.090586843,28.50191487,28.87381256
2009-01-03,1.59,1.581075887,29.33808644,28.87381256
2009-01-04,0.31,1.216826005,28.90709853,28.87381256
2009-01-05,1.17,1.335913495,29.73606708,28.87381256
2009-01-06,15.84,1.215547468,28.94863251,28.87381256
2009-01-07,11.43,1.222648109,27.95087071,28.87381256
2009-01-08,7.06,1.040391627,28.28555842,28.87381256
2009-01-09,3.16,1.364824201,27.70865738,28.87381256
2009-01-10,1.23,1.569100833,28.04486684,28.87381256
2009-01-11,1.14,1.298632117,29.17932238,28.87381256
2009-01-12,0.48,1.331198631,29.1220926,28.87381256
2009-01-13,3.51,1.256764077,29.2278721,28.87381256
2009-01-14,0.25,1.163828532,28.66090234,28.87381256
2009-01-15,1.52,1.296067595,28.10143321,28.87381256
2009-01-16,2.97,0.984847897,27.47320741,28.87381256
2009-01-17,12.55,0.689235254,27.41622758,28.87381256
2009-01-18,4.28,0.985843762,26.69811212,28.87381256
2009-01-19,10.84,1.447152122,27.41387181,28.87381256
2009-01-20,1.92,1.0069734,27.07911611,28.87381256
2009-01-21,0.14,1.265554578,28.72578299,28.87381256
2009-01-22,0.45,1.078689003,28.0822243,28.87381256
2009-01-23,37.58,1.012569947,28.73580926,28.87381256
2009-01-24,0.88,1.270454758,27.89320305,28.87381256
2009-01-25,0.77,1.346491184,28.52472106,28.87381256
2009-01-26,0.13,1.559190027,29.15533657,28.87381256
2009-01-27,0.41,1.475244789,29.35185966,28.87381256
2009-01-28,3.47,1.319268024,29.88413378,28.87381256
2009-01-29,3.64,1.580756279,29.37584723,28.87381256
2009-01-30,33.86,1.361413589,27.46393232,28.87381256
2009-01-31,5.75,1.487766901,27.71276367,28.87381256
2009-02-01,33.43,1.000382889,27.56036454,28.87381256
2009-02-02,0.45,1.367446266,29.03414883,28.87381256
2009-02-03,0.21,1.395859011,30.06225099,28.87381256
2009-02-04,3.59,1.699191878,30.94599209,28.87381256
2009-02-05,0.3,1.587938319,30.09888992,28.87381256
2009-02-06,6.36,1.594558301,29.86783411,28.87381256
2009-02-07,1.96,1.391857814,29.12096264,28.87381256
2009-02-08,2.1,1.355165625,29.35465746,28.87381256
2009-02-09,0.51,1.280234544,29.10241869,28.87381256
2009-02-10,7.07,1.525023021,29.7891104,28.87381256
2009-02-11,0.83,1.419905999,29.29831303,28.87381256
2009-02-12,10.41,1.407040871,28.06516264,28.87381256
2009-02-13,1.13,1.735901408,27.94728097,28.87381256
2009-02-14,12.45,1.289579099,27.94270558,28.87381256
2009-02-15,3.18,1.108412568,27.49809439,28.87381256
2009-02-16,2.35,1.397247024,27.20823704,28.87381256
2009-02-17,0.63,1.141461109,28.53712446,28.87381256
2009-02-18,0.14,1.515405611,29.80156899,28.87381256
2009-02-19,4.24,1.719207281,29.76080562,28.87381256
2009-02-20,0.86,1.244994473,28.11516961,28.87381256
2009-02-21,2.45,1.359710125,29.05840342,28.87381256
2009-02-22,0.6,1.498178912,29.80160535,28.87381256
2009-02-23,0.45,1.55516962,28.90454474,28.87381256
2009-02-24,11.37,1.855722703,29.5177893,28.87381256
2009-02-25,2.78,1.509992533,28.49352065,28.87381256
