id,c,loc,scale,D-static,P-Value
23800100,-0.0408,289.0713,126.5975,0.0741,0.9987
23800500,0.0475,518.9877,214.4795,0.1111,0.8971
23800690,0.0131,750.6321,367.8376,0.0556,1.0000
23700200,0.3501,2832.8872,771.9712,0.0741,0.9987
23700600,0.3183,2758.0981,785.9577,0.1111,0.8971
23900200,0.2857,3127.5953,936.8912,0.0556,1.0000
24010004,-0.0592,256.7156,136.8345,0.1064,0.9564
24022003,0.0415,463.2030,228.3414,0.0741,0.9987
24300600,0.0101,464.8250,222.1210,0.0741,0.9987
24050009,0.0768,580.8551,304.5611,0.0750,0.9999
24064003,0.0125,625.4641,322.3984,0.0870,0.9959
24700404,0.0519,718.7208,376.1886,0.0732,0.9999
25100100,0.3073,3743.8060,1214.6170,0.0556,1.0000
25400600,0.0794,225.3205,129.9091,0.0943,0.9747
25400804,0.0963,261.9130,157.4394,0.0741,0.9987
25400407,0.1360,158.0814,89.1282,0.0952,0.9926
25700100,0.2826,3881.5735,1262.4261,0.0556,1.0000
25830056,0.2128,125.9001,44.2204,0.1020,0.9636
25800200,0.2509,241.2089,99.5049,0.0741,0.9987
25800600,0.2417,307.0873,136.4795,0.0370,1.0000
26400550,0.2349,496.4420,262.0799,0.0943,0.9747
26900400,0.3686,1842.0011,849.3227,0.0556,1.0000
26500100,0.3573,1664.9807,783.9725,0.0755,0.9985
27100403,0.3215,5649.0760,2084.3831,0.0741,0.9987
27200500,0.1993,139.8394,59.4560,0.0755,0.9985
2729100000000,0.2289,399.8378,207.8894,0.0732,0.9999
2730010,0.3061,5783.0175,2090.2240,0.0741,0.9987
2761759000000,0.2914,104.9257,52.6124,0.0811,0.9998
2769510000000,0.3274,453.3007,224.9810,0.1081,0.9846
2783390000000,-0.1264,44.5064,20.0896,0.0816,0.9973
2785790000000,-0.1849,86.7946,31.4297,0.0926,0.9769
2787990000000,0.0841,146.2752,52.6560,0.0667,1.0000
2789770000000,0.1705,203.7124,79.1181,0.1163,0.9377
2790010,0.2842,5960.0225,2107.1972,0.0741,0.9987
