id,mean,std,min,5%,25%,median,75%,95%,max,t_beg,t_end,nyr,q1.5,q2,q5,q10,q25,q50,q100,q200,q500,q1000
23800100,49.3168,48.5444,5.3000,12.2000,22.1000,34.7000,58.9000,132.0000,1031.0000,1951-01-01 00:00:00,2003-12-31 00:00:00,52.9966,277.1879,335.8196,484.8915,587.4524,721.6112,824.5459,824.5459,929.6845,1037.4614,1184.4149
23800500,88.6705,82.7992,14.1000,26.3000,43.5250,64.8000,104.0000,222.0000,1520.0000,1951-01-01 00:00:00,2003-12-31 00:00:00,52.9966,498.7712,596.9164,829.4920,976.7242,1155.3967,1282.8385,1282.8385,1405.1941,1523.1303,1672.8755
23800690,138.4988,121.4237,21.1000,49.4000,73.3000,105.2000,157.3000,333.1200,2140.0000,1951-01-01 00:00:00,2003-12-31 00:00:00,52.9966,716.0164,885.1257,1296.9729,1566.3010,1902.8276,2149.7913,2149.7913,2392.6877,2632.4949,2945.5447
23700200,1283.8706,531.7653,388.0000,615.0000,889.0000,1190.0000,1570.0000,2280.0000,4340.0000,1951-01-01 00:00:00,2003-12-31 00:00:00,52.9966,2759.0764,3098.4227,3733.6587,4034.9760,4318.2461,4475.3031,4475.3031,4597.2746,4692.4856,4787.3618
23700600,1291.9497,525.6169,364.0000,626.0000,900.0000,1200.0000,1580.0000,2250.0000,4410.0000,1951-01-01 00:00:00,2003-12-31 00:00:00,52.9966,2683.0629,3029.9926,3695.4680,4020.9370,4335.1976,4514.1383,4514.1383,4656.2384,4769.6486,4885.5609
23900200,1435.4812,608.0391,421.0000,679.8500,998.0000,1320.0000,1750.0000,2560.0000,5400.0000,1951-01-01 00:00:00,2003-12-31 00:00:00,52.9966,3038.2881,3453.6083,4270.5032,4682.7182,5091.7888,5331.1436,5331.1436,5525.6092,5684.3762,5850.9174
24010004,37.7023,51.3519,-9.0000,-9.0000,12.9952,23.6000,45.8698,131.0000,854.9600,1951-01-01 00:00:00,2003-12-31 00:00:00,52.9966,243.8824,307.4153,471.3486,586.0995,738.5721,857.3458,857.3458,980.2370,1107.8379,1284.4282
24022003,105.1558,93.2556,11.0000,33.2000,52.4000,75.5000,122.0000,275.0000,1180.0000,1951-01-01 00:00:00,2003-12-31 00:00:00,52.9966,441.6861,546.2604,795.2678,953.8091,1147.1994,1285.8339,1285.8339,1419.5033,1548.8912,1713.9824
24300600,112.3743,97.9492,12.0000,36.0000,56.0000,81.0000,131.0000,293.0000,1250.0000,1951-01-01 00:00:00,2003-12-31 00:00:00,52.9966,443.9251,546.0844,795.4766,959.0286,1163.9083,1314.6343,1314.6343,1463.1897,1610.1625,1802.4886
24050009,103.5081,127.6933,-9.0000,-9.0000,-9.0000,78.0000,137.0000,331.0000,1506.0000,1951-01-01 00:00:00,2003-12-31 00:00:00,52.9966,552.1081,690.9244,1012.3513,1210.2792,1444.5915,1607.7210,1607.7210,1761.1619,1906.0759,2085.7938
24064003,138.5523,150.4578,-9.0000,-9.0000,60.2000,99.0000,176.0000,412.0000,1720.0000,1951-01-01 00:00:00,2003-12-31 00:00:00,52.9966,595.1255,743.3580,1104.5529,1340.9049,1636.3943,1853.3613,1853.3613,2066.8545,2277.7301,2553.1594
24700404,144.3676,171.6365,-9.0000,-9.0000,37.0000,109.0000,186.0000,454.0000,1990.0000,1951-01-01 00:00:00,2003-12-31 00:00:00,52.9966,683.2546,855.2969,1261.5965,1517.7588,1827.4881,2047.6221,2047.6221,2258.3329,2460.8234,2717.0370
25100100,1654.1584,724.5141,501.0000,778.0000,1150.0000,1520.0000,2000.0000,2990.0000,6920.0000,1951-01-01 00:00:00,2003-12-31 00:00:00,52.9966,3627.9072,4164.8247,5203.5025,5716.9056,6217.2439,6504.7768,6504.7768,6734.8834,6919.9487,7110.7671
25400600,25.7073,37.4056,-9.0000,3.1485,7.2600,13.9000,29.1000,87.1000,734.0000,1951-01-01 00:00:00,2003-12-31 00:00:00,52.9966,213.0571,272.2481,409.0254,493.0453,592.2939,661.2442,661.2442,725.9826,787.0140,862.5469
25400804,30.6150,46.0353,-9.0000,4.0700,8.6000,15.7000,33.9000,105.0000,861.0000,1951-01-01 00:00:00,2003-12-31 00:00:00,52.9966,247.0389,318.6102,481.8006,580.4505,695.3218,774.0136,774.0136,847.0269,915.0517,998.1011
